cid,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,prob,intensity,lat,lng
815-822,4,0,0,2,1,1,0,0,0,0,0,0,0.010358023911791905,8,-23.6557698,-46.71931
114958-27914,1,1,0,2,1,2,1,0,1,2,1,0,0.022386784690122626,12,-23.499915201881915,-46.6244296890453
73564-73541,1,0,0,0,0,0,0,0,2,1,0,1,0.00988053938870542,5,-23.51440791580061,-46.40761677495079
33407-33403,4,2,0,0,0,3,1,1,0,0,1,0,0.014077087625198853,12,-23.579275471478162,-46.481813391632016
102468-6442,1,0,1,0,0,2,1,0,1,2,0,1,0.016946577148776263,9,-23.526097646416986,-46.549599866894326
57276-57319,1,0,0,0,1,0,0,0,0,2,1,0,0.010396515946282553,5,-23.6921397254277,-46.65245052464523
30305-30304,1,0,1,0,3,0,1,0,0,0,0,0,0.009761397377186723,6,-23.71879030000153,-46.673308099997676
111024-99055,1,1,2,0,4,2,0,0,2,0,0,0,0.015227266274860204,12,-23.564745757064838,-46.65254002782176
7416-20811,2,2,1,0,1,1,2,0,1,1,0,2,0.02226947563262724,13,-23.542464370050197,-46.61646628863433
5523-112744,3,21,4,2,9,7,3,5,8,14,7,3,0.029475734375485445,86,-23.54326918000774,-46.64136085999645
115823-115818,1,2,2,1,2,0,0,1,1,3,1,1,0.02501157485158081,15,-23.457353825,-46.69087570000002
7214-7233,2,0,0,1,0,2,1,0,0,2,1,1,0.01723801683849121,10,-23.584142239339737,-46.491985413721494
102842-23479,2,1,1,2,0,1,0,1,1,1,2,2,0.024778789690613565,14,-23.549877835026766,-46.64826447566557
5525-5526,4,3,0,0,1,1,1,1,0,2,0,2,0.019333999764208756,15,-23.543200773950545,-46.63865013351795
99071-99072,1,0,0,1,2,2,0,0,0,0,0,0,0.0103580239117919,6,-23.56159396127822,-46.673498977424686
42008-7817,1,1,3,2,1,1,0,1,0,1,2,1,0.02520495150104583,14,-23.511964988550297,-46.62491397315076
38645-38666,1,0,3,0,1,1,1,1,0,0,1,0,0.016854929447608014,9,-23.73906135183354,-46.66107579320166
9213-9215,1,1,0,0,0,0,0,0,0,0,2,1,0.010120656365766166,5,-23.54235146518769,-46.63225929010085
64857-7188,3,2,5,0,1,0,1,1,0,2,1,2,0.022006446730274416,18,-23.611279096484303,-46.475111198117176
5424-5436,1,4,1,1,4,1,2,1,1,3,4,3,0.02947573437548545,26,-23.55008213798648,-46.63127356882599
116396-23485,1,1,1,0,0,1,2,0,0,1,0,2,0.017196775372965503,9,-23.549254475022686,-46.65256238747786
13792-3665,3,1,1,2,5,2,2,1,0,1,1,1,0.02715246515087081,20,-23.579435969224903,-46.661665926304806
78490-78499,1,0,1,0,0,0,0,0,0,2,0,1,0.010159148400256836,5,-23.559567735071433,-46.45615024766411
97496-97517,4,2,2,3,2,2,2,1,1,3,2,1,0.02947573437548545,25,-23.51492859465316,-46.38052653091382
5615-102842,4,2,3,0,2,1,1,1,1,1,2,1,0.02684636182896887,19,-23.550785294316256,-46.64741306539972
54148-46382,2,1,1,0,2,0,0,0,0,0,0,0,0.010387351176165741,6,-23.607006833009684,-46.52738373888678
112768-9353,2,1,1,0,0,1,0,0,0,1,0,1,0.015249261723140568,7,-23.521211722134236,-46.66876182086959
124692-5625,2,1,1,1,1,0,0,0,0,1,1,0,0.018201234177769355,8,-23.54999230359347,-46.63465743905638
6536-5328,1,1,1,4,1,2,1,0,2,1,0,4,0.024898848179143885,18,-23.547789287179903,-46.64880924394909
62932-62926,2,1,0,0,0,1,0,0,0,0,2,0,0.010139902383011537,6,-23.446617452398947,-46.731877859214634
124161-124162,1,2,0,0,0,0,0,0,0,1,0,2,0.010130737612894678,6,-23.650943990226484,-46.76051216533139
5681-5629,1,2,1,2,3,7,2,3,3,1,0,1,0.02688851977150625,26,-23.535476436360657,-46.641001576707914
18980-7719,1,0,1,1,1,0,2,0,0,0,1,0,0.014977984527682583,7,-23.53796820946737,-46.65027591768089
6473-6471,1,1,0,2,2,0,0,1,0,0,0,0,0.012404517078878574,7,-23.578271000174922,-46.681482648770306
23405-23393,1,0,0,0,0,1,0,0,0,1,1,1,0.012661130642149663,5,-23.535573017750163,-46.62621856502098
99050-111017,1,0,0,0,1,1,0,1,0,1,0,0,0.012315618808745403,5,-23.561366749999998,-46.656653649999996
141263-47432,1,1,2,0,1,2,4,0,1,2,0,0,0.019772075775792892,14,-23.613439188945307,-46.52266372535976
129737-129738,1,1,0,2,1,0,0,0,2,1,2,0,0.017922625166217933,10,-23.64480517500429,-46.71996792500045
121076-121077,3,0,1,0,0,1,0,1,1,0,1,0,0.014481253987350732,8,-23.669269149999998,-46.7910216
7818-124407,1,3,1,1,1,0,1,1,1,1,1,0,0.024461688644571388,12,-23.5075129616082,-46.62485752874001
2777-2782,1,1,0,0,2,2,2,0,3,2,2,2,0.02225481200044039,17,-23.432484300001587,-46.569079300011616
4578-4576,3,1,3,4,2,1,0,1,1,1,2,1,0.02752822072566055,20,-23.571254023903006,-46.70849520921118
64821-99394,1,0,0,0,1,0,0,0,1,2,0,0,0.010132570566918088,5,-23.591485525002664,-46.48922379999822
18532-5615,3,3,1,0,1,0,1,0,0,1,0,0,0.014932160677098488,10,-23.5523885262727,-46.647966874064224
78022-136211,1,1,1,0,2,1,0,0,0,0,0,0,0.012903997050245475,6,-23.551793125000614,-46.462714774997316
5555-5556,1,2,0,0,0,0,0,0,1,1,2,1,0.015041221441488645,8,-23.546752172707556,-46.64720126932149
9834-9835,2,0,0,1,2,0,1,0,0,0,0,0,0.009788891687537183,6,-23.680535950000532,-46.68340052500087
128686-8232,1,0,0,0,0,0,0,1,3,0,1,0,0.00936272987710492,6,-23.54219932500017,-46.57621365000171
66046-114753,2,2,3,5,1,0,2,3,0,3,1,2,0.024635819276791038,24,-23.585466950000004,-46.788475500000004
75577-75580,1,2,0,1,0,3,0,0,1,0,0,2,0.015002729406998013,10,-23.658004480787845,-46.781647798560364
41071-41069,2,1,0,0,0,2,0,1,1,0,1,0,0.014452843199988628,8,-23.43567124898196,-46.71550409882303
5595-1984,4,0,0,0,0,0,3,1,2,0,1,0,0.011310243526929881,11,-23.54271228902276,-46.63534125731201
6898-125940,4,2,1,1,0,0,0,0,1,1,0,0,0.015187857763357824,10,-23.5516843,-46.6486503
132640-132641,1,3,1,1,2,0,0,0,0,0,0,0,0.013016723722682349,8,-23.633352178738484,-46.711461963942504
5416-5417,1,1,1,0,0,0,0,0,0,1,0,1,0.012732615849060864,5,-23.552373763200574,-46.63690718856061
11666-11667,2,0,0,1,0,0,0,0,1,1,0,1,0.012509911935222013,6,-23.644676399999994,-46.584888
111023-99053,2,3,2,1,1,2,0,1,0,1,1,0,0.02270755164421145,14,-23.568781676302216,-46.6475826033828
72842-72851,1,0,1,1,1,0,0,1,2,3,2,2,0.022438107402776793,14,-23.54021830000096,-46.421120150001116
3511-3570,1,2,0,1,2,0,1,0,1,2,0,0,0.017282924212063688,10,-23.55545221198879,-46.66558770179262
5486-5487,1,0,0,0,0,2,0,0,1,1,0,0,0.009899785405950743,5,-23.5524296408669,-46.62988502144391
90005-44557,1,0,1,0,1,0,0,1,0,0,1,0,0.012390769923703332,5,-23.404444973867847,-46.75226648643729
5512-114661,1,0,0,0,1,1,0,0,0,0,1,3,0.012813265826088905,7,-23.548745398868626,-46.640023559225824
5459-5458,1,1,2,1,1,0,0,1,0,0,0,0,0.015006395315044732,7,-23.556399607219955,-46.63630491432599
28933-84294,2,0,0,0,1,1,0,1,1,1,0,0,0.014638888033360118,7,-23.494759500065236,-46.427467920804744
6820-6821,1,1,0,2,0,3,1,0,2,1,1,0,0.01963735365507559,12,-23.533608711552695,-46.656022303990014
23497-6451,1,0,1,0,2,0,1,1,3,1,1,0,0.019258848649250808,11,-23.555484386511424,-46.64618626633375
115508-7560,3,1,0,0,1,0,0,2,0,1,0,0,0.012372440383469685,8,-23.52259976347163,-46.66001679589095
5574-5568,2,0,2,2,1,0,0,0,0,1,0,3,0.015537951981820498,11,-23.544277800800923,-46.646587799062786
63821-63814,2,0,0,0,0,0,1,0,0,1,2,0,0.009594598561060532,6,-23.604751522317386,-46.7962158291219
6044-6045,1,0,0,1,2,1,0,0,0,0,0,0,0.010358023911791902,5,-23.533658000000003,-46.65584565
58623-58633,2,0,0,0,1,0,0,1,0,2,0,0,0.00979897293466573,6,-23.687749715610373,-46.641946636676224
115211-35951,2,0,0,0,0,0,0,0,0,2,2,0,0.007647084911235558,6,-23.665904717374328,-46.788519291128836
1934-1933,5,0,3,3,1,1,3,3,5,4,5,4,0.026902266926681507,37,-23.53177673956525,-46.625902195767495
92370-92365,1,0,0,1,1,0,0,0,0,1,0,1,0.012936073745654338,5,-23.602734388437124,-46.43810837362122
41014-41068,1,1,0,0,1,1,0,1,0,0,0,0,0.012291790406441643,5,-23.45631233827323,-46.69181535165635
140922-127104,2,0,1,0,1,1,1,0,0,0,1,0,0.014865257855245673,7,-23.445912006311733,-46.71455506576306
38603-38498,2,0,0,0,1,0,1,0,0,0,0,2,0.009656918997854952,6,-23.74289373471147,-46.65933959638035
114665-1973,3,2,4,2,0,1,0,1,3,1,1,1,0.024778789690613565,19,-23.534888338267322,-46.63453758530887
52573-52457,1,4,1,2,0,2,0,2,1,0,0,1,0.019594279235526507,14,-23.49972735,-46.46877465
111448-21124,1,1,1,0,0,2,0,1,0,0,0,0,0.012144237607560804,6,-23.583769800020434,-46.57542504998278
45970-37780,2,2,2,1,0,1,1,0,2,0,0,0,0.017054721436154784,11,-23.75504129605729,-46.677397179644196
79970-79926,2,0,1,1,0,2,0,0,1,0,0,0,0.01253374033752577,7,-23.650541743094436,-46.77796517018244
5546-5528,3,0,1,0,2,0,0,0,0,1,2,0,0.01299839418244873,9,-23.542078350786774,-46.6400543915301
18431-18432,2,1,0,2,0,0,2,2,2,3,1,0,0.019110379373358265,15,-23.519088697570478,-46.7029663353601
19283-17423,1,1,1,1,0,0,0,1,0,0,0,0,0.0122569642799977,5,-23.613865196907682,-46.638127279370444
485-18565,1,0,0,0,1,1,0,0,0,0,0,2,0.010226051222109664,5,-23.546115406647786,-46.737087315797325
6137-33081,1,1,0,0,0,0,0,0,2,0,2,2,0.012443925590380902,8,-23.54491118120817,-46.6266549755391
5420-5418,2,3,2,5,2,0,0,0,1,0,0,0,0.015339992947297133,15,-23.551590652012123,-46.634438172245694
88423-88441,1,0,1,2,0,1,0,0,0,0,0,1,0.012707870969745448,6,-23.46013039864733,-46.708336878580425
7188-10767,2,0,2,0,1,0,0,0,0,1,0,0,0.010411179578469496,6,-23.611873696484306,-46.47647974811717
72873-95251,3,2,0,0,1,0,0,0,1,0,3,2,0.015193356625427932,12,-23.545234469851252,-46.4110460822189
46025-46023,1,0,1,3,1,0,0,0,0,3,0,0,0.013040552124986112,9,-23.76593889585685,-46.68356952138569
112725-6533,2,1,1,2,0,1,0,0,1,1,1,1,0.02278911809825114,11,-23.552559,-46.65363715
79225-79224,1,0,0,2,0,0,0,0,1,0,1,1,0.01249983068809351,6,-23.530724999999997,-46.50127485
9435-21126,1,0,0,0,1,1,0,1,0,0,1,0,0.0123055375616169,5,-23.585533988275955,-46.58090896491662
36314-76188,2,0,1,0,0,0,0,0,2,1,0,0,0.00998501776803719,6,-23.527799858764112,-46.45829771218527
20976-7668,1,1,0,0,0,0,1,1,1,1,1,1,0.018978406683675994,8,-23.510439030619338,-46.594342905445714
38640-38638,1,1,1,0,1,1,0,0,1,0,0,0,0.015227266274860204,6,-23.740871194422095,-46.656973884721126
5276-6653,2,0,0,1,1,1,0,0,0,0,0,0,0.010358023911791898,5,-23.583609444780027,-46.66978062451906
4385-27527,1,0,0,1,1,0,0,0,0,1,1,2,0.015523288349633573,7,-23.65745391892834,-46.736169014738664
102489-88046,1,0,4,2,1,1,1,0,0,1,2,0,0.020091926252870033,13,-23.461169743021788,-46.69401457703757
135427-33892,1,1,0,1,2,0,0,0,0,0,0,0,0.010414845486516236,5,-23.594473658313674,-46.50283547108834
136052-112787,3,0,1,1,0,0,0,3,0,1,0,2,0.01477819253913583,11,-23.53549309013857,-46.63509643861536
1985-1986,2,2,0,1,1,2,0,2,0,3,1,1,0.022603073264879668,15,-23.545386150026783,-46.63697573325323
5472-5471,2,0,0,0,0,0,0,0,3,1,0,0,0.007383139531871036,6,-23.556938226325798,-46.63300907582426
3486-126707,1,2,0,3,1,1,0,3,3,0,0,1,0.01974183203440738,15,-23.638652413747106,-46.73687490844928
76599-76600,1,0,0,1,1,0,1,0,1,1,0,0,0.014709456763259668,6,-23.534442097459532,-46.472362765068056
6531-18628,1,2,0,0,1,2,0,1,0,1,1,1,0.019973700718363054,10,-23.554301444706333,-46.65607785505071
35715-35713,2,1,0,1,0,0,0,0,1,0,2,0,0.012575898280063167,7,-23.577086683640637,-46.49195630627134
6137-21853,1,0,0,1,2,1,1,0,1,1,0,0,0.01722610263733935,8,-23.54499173120817,-46.6264218255391
4878-86790,1,3,1,0,1,0,0,0,1,2,1,0,0.017895130855867452,10,-23.613547862387946,-46.714139985786275
61907-7610,2,6,1,1,2,0,0,0,0,1,1,0,0.01820123417776936,14,-23.542621701110185,-46.641685719815854
51094-35127,1,1,1,0,0,0,0,0,0,0,0,2,0.0101353199979531,5,-23.660131190214834,-46.65780126188786
58893-51968,1,0,0,0,0,0,0,0,1,1,2,2,0.012467753992684653,7,-23.66161907409611,-46.70663180737769
21788-21789,2,2,4,1,2,4,2,1,2,1,1,1,0.02947573437548546,23,-23.5529417,-46.651679349999995
5313-5314,1,0,1,1,0,0,0,0,0,0,1,1,0.01277843969964497,5,-23.576987323569533,-46.64085922037363
36127-113712,3,0,2,1,1,3,0,0,0,2,4,4,0.020641812459879474,20,-23.61025603487832,-46.587678081134484
78540-78542,1,0,0,2,0,1,0,0,0,0,2,0,0.010195807480724177,6,-23.553115902710104,-46.46251183512159
5418-5421,1,2,1,4,3,1,2,1,0,2,2,0,0.024655065294036438,19,-23.552106398875345,-46.634335144124066
36326-36324,1,0,1,1,0,0,0,0,1,1,0,0,0.012614390314553829,5,-23.51538004174804,-46.45594739423656
38555-38556,2,1,0,2,2,0,0,0,0,2,0,0,0.013012141337623961,9,-23.7367475,-46.667764399999996
5438-5439,1,3,1,2,1,2,1,2,1,2,0,0,0.024391119914671865,16,-23.554973240096565,-46.63575541203538
19243-19244,1,0,1,1,1,0,0,0,0,0,0,1,0.012940656130712744,5,-23.599267827432445,-46.60357706202271
41985-5629,1,0,0,0,1,2,2,2,1,0,1,0,0.016576320436056606,10,-23.534666501105885,-46.640894753424476
4039-115151,2,0,0,2,1,1,0,0,0,1,0,0,0.01295531976289966,7,-23.65264657137629,-46.77817665870269
63469-63468,1,0,1,2,2,0,1,1,2,2,1,1,0.02438562105260176,14,-23.577238721472874,-46.77943181878123
66012-66462,1,1,0,1,1,0,0,0,0,0,0,1,0.012912245343350597,5,-23.58445672592535,-46.79130767717352
23485-23486,1,0,1,1,1,0,0,0,0,1,1,0,0.01562776672896535,6,-23.54895615001682,-46.65192576248499
70554-70527,1,0,1,1,1,0,0,0,0,0,1,0,0.013030470877857591,5,-23.509912452340593,-46.4683214469117
6225-6226,1,1,1,1,2,1,1,2,0,2,1,0,0.024655065294036438,13,-23.53400965,-46.544183950000004
38209-38269,1,1,0,3,1,2,1,0,0,0,0,1,0.017376404867255245,10,-23.456586882712617,-46.75613616242601
32015-125850,3,2,1,2,1,1,1,0,2,0,0,1,0.022301552328036146,14,-23.544342760168455,-46.63450594348867
5552-5550,1,2,1,0,2,2,2,1,4,5,2,1,0.02684636182896887,23,-23.544156355999824,-46.64254089355582
119186-5268,1,0,1,0,0,0,1,1,1,1,1,1,0.01900681747103814,8,-23.58872048453769,-46.676424276857034
37645-37630,2,1,3,0,4,1,0,1,0,1,0,1,0.01998836435054991,14,-23.74660061925291,-46.687991494982114
35902-35905,1,2,0,2,1,2,1,1,0,0,0,2,0.019366076459617666,12,-23.541795450000002,-46.48408455
476-474,1,1,2,1,2,1,1,3,2,2,0,0,0.024391119914671865,16,-23.54899352503918,-46.732215800071714
62949-62942,2,0,1,1,1,0,0,0,0,1,0,1,0.015537951981820503,7,-23.454617533738634,-46.73871368053786
101426-72823,1,1,0,1,1,0,2,2,1,0,0,0,0.016675299953318262,9,-23.54240869150551,-46.41710580043451
84842-84835,1,0,1,0,0,1,1,0,0,0,1,1,0.014613226677033013,6,-23.49381926335254,-46.40798426890822
21490-57341,1,0,1,0,0,1,0,0,2,1,1,2,0.017586278102930498,9,-23.692352014329813,-46.662468142797756
83101-28684,2,2,2,1,1,2,1,1,2,0,3,2,0.026878438524377716,19,-23.50578602172324,-46.62484770623439
63312-63515,3,1,0,1,0,1,1,0,0,0,0,0,0.012129573975373854,7,-23.578283360673744,-46.74149456330066
23008-23009,2,2,1,0,1,0,0,0,1,0,0,1,0.015208020257614868,8,-23.504889225000802,-46.68945939999653
20842-20858,3,1,0,0,0,0,0,0,0,2,0,0,0.007633337756060329,6,-23.520354454014203,-46.5820848807978
136863-28928,4,1,0,0,2,1,0,0,4,3,2,1,0.020307298350615365,18,-23.496675349153392,-46.393301746643296
5528-23349,6,1,2,0,3,0,3,0,2,2,4,4,0.022340044362526824,27,-23.54206563429512,-46.640681055000414
100748-100674,1,0,0,0,0,0,0,1,4,3,0,0,0.00937281112423342,9,-23.448358084961058,-46.5828552118424
73990-100630,1,1,0,0,0,2,0,1,0,0,0,1,0.012039759228229016,6,-23.44994868915123,-46.582357410733664
71697-100586,1,3,1,0,0,1,0,0,0,0,2,1,0.01523918047601206,9,-23.45647859956293,-46.58484210861218
3496-141405,1,0,0,1,0,0,0,0,0,0,2,1,0.01017656146347881,5,-23.646845779786116,-46.70661123606483
105861-4273,1,2,0,0,0,0,0,0,1,0,3,0,0.009946525733546542,7,-23.672691528157852,-46.743474268986986
41105-41128,1,0,1,0,1,0,1,1,0,0,0,0,0.011751068969549082,5,-23.45617106833224,-46.71367390754217
7410-32311,1,1,1,1,0,1,1,1,0,1,0,1,0.021815819511844498,9,-23.538981425307583,-46.60642604784496
6816-5565,9,20,7,7,13,12,9,6,7,8,12,9,0.029475734375485445,119,-23.54225945203951,-46.642749862110136
113402-20814,1,0,1,0,0,1,0,0,0,1,2,4,0.0152630088783158,10,-23.541668817005345,-46.61751414113313
3352-3353,2,3,1,5,2,5,5,4,1,2,2,2,0.029475734375485455,34,-23.644389099999998,-46.58465355
36015-118815,1,1,0,0,0,0,0,2,4,0,0,2,0.011846382578764055,10,-23.694509600321798,-46.77973571146711
12201-115578,2,0,0,0,1,0,1,2,1,0,1,1,0.016557074418811234,9,-23.605583321709634,-46.69304403111629
105926-4275,1,0,1,1,1,1,0,0,2,1,1,1,0.022965081684494175,10,-23.675750049186547,-46.749457804468385
8059-8058,1,0,0,2,1,1,0,0,0,0,0,1,0.01285542376862629,6,-23.55351571123978,-46.49201043770563
119837-119839,1,0,1,0,2,0,0,1,0,0,0,0,0.009803555319724105,5,-23.633168865790633,-46.74539110162069
73768-140173,1,3,2,3,1,2,0,0,3,1,1,3,0.02553854913329819,20,-23.49741163538622,-46.400760652927914
1989-18533,6,8,2,2,4,12,0,6,2,9,6,2,0.027528220725660545,59,-23.549404186143992,-46.638955984051286
5328-116394,1,0,0,1,1,1,0,1,0,2,1,1,0.020029605816075612,9,-23.548053720516215,-46.649618877280496
19241-1010,1,0,2,0,2,1,0,0,0,1,0,1,0.01542522530938358,8,-23.59863542282909,-46.59766364727315
88295-88046,1,2,0,0,1,0,0,1,0,0,0,0,0.009775144532361967,5,-23.460541584536216,-46.693494406736264
120186-23553,1,2,0,0,0,0,1,0,1,1,0,0,0.011904120630500042,6,-23.557135244503662,-46.6465776041813
10614-10615,4,4,4,2,0,2,1,0,0,0,0,1,0.017228852068374437,18,-23.517643999865165,-46.70327709326135
4087-4086,1,2,3,2,5,2,0,1,0,2,5,2,0.025204951501045833,25,-23.618569113595136,-46.760612085637455
50083-50078,1,0,0,4,0,1,2,0,1,0,0,0,0.0118793757511846,9,-23.605988819034522,-46.50251742834405
21269-22565,1,0,1,1,1,0,1,3,2,0,2,1,0.021788325201494083,13,-23.532346700451853,-46.61443487966268
134774-134025,2,1,0,2,0,2,2,1,2,6,0,2,0.02153721050029305,20,-23.417227849999996,-46.5799193
115049-124695,1,0,2,1,0,0,1,1,1,0,2,2,0.019038894166447,11,-23.547265477737714,-46.63119393519371
13389-8680,4,12,3,1,5,10,4,0,0,0,0,0,0.017480883246587035,39,-23.5961905323594,-46.679841148649615
38580-38692,1,1,2,0,1,2,0,0,2,0,1,0,0.017814480878839398,10,-23.7369982839154,-46.66577638360853
6576-6577,1,2,0,0,0,1,0,0,0,1,0,0,0.010149983630140049,5,-23.55758380557941,-46.68138591587453
140109-3540,1,3,1,3,0,3,2,0,1,3,5,3,0.024736631748076093,25,-23.612338502768793,-46.7540232427482
71498-71490,1,2,0,1,0,0,0,0,0,0,0,1,0.010162814308303583,5,-23.621637286178355,-46.443368341067924
998-62523,1,5,2,2,2,5,0,0,1,1,1,3,0.025538549133298186,23,-23.61229311612447,-46.60798302086158
60874-60875,3,1,1,0,0,0,1,0,0,0,0,1,0.012082833647778086,7,-23.5675003,-46.44668625
5295-5297,2,2,1,1,2,3,2,1,0,2,3,0,0.024655065294036434,19,-23.561788290371112,-46.65563393121748
7252-113996,3,3,2,0,0,0,0,0,0,0,0,0,0.007637920141118746,8,-23.572206899561035,-46.50408926988828
1976-1970,1,2,0,0,0,0,0,0,0,2,0,1,0.01013073761289468,6,-23.53474475000605,-46.63303605000274
5632-1972,1,0,1,0,0,0,1,0,0,1,1,1,0.014693876654061038,6,-23.53500156001371,-46.63349416997503
99051-115469,3,1,0,2,1,2,4,0,1,0,2,0,0.019789488839014862,16,-23.55776178148929,-46.6598115315511
118761-118762,4,1,1,0,1,4,2,0,0,0,0,2,0.01734891055690482,15,-23.68580287501816,-46.801293799978126
4524-4551,2,0,1,0,1,0,0,0,2,4,1,1,0.017819063263897858,12,-23.57486725824623,-46.71184576904666
137114-137115,2,4,1,0,0,2,0,0,1,0,2,1,0.017562449700626766,13,-23.75635235,-46.668898299999995
124655-7739,1,1,0,1,0,0,0,0,1,0,0,1,0.012486083532918295,5,-23.556750199613617,-46.659157971620715
39390-39391,1,0,1,1,0,0,1,0,0,0,0,1,0.012138738745490709,5,-23.48474242120019,-46.688039453216305
115469-99051,1,0,0,0,1,1,0,2,0,0,0,2,0.01221572281447202,7,-23.55776178148929,-46.6598115315511
1008-3286,2,0,2,1,1,1,0,0,0,0,0,0,0.012959902147958072,7,-23.603857896914207,-46.59973267366523
15280-827,1,0,0,1,0,0,0,1,1,0,0,2,0.01190228767647664,6,-23.655485940728735,-46.71808240269742
125023-119544,1,2,0,0,0,0,0,1,0,1,1,1,0.014707623809236256,7,-23.724953450007558,-46.78558072499181
52649-52650,1,1,1,0,0,0,1,1,0,1,1,1,0.019257015695227427,8,-23.484698016674223,-46.46812958334324
126191-27821,1,0,0,1,2,2,0,0,0,0,2,0,0.012945238515771154,8,-23.466292543126073,-46.67067572947965
125342-125343,2,0,0,2,0,0,1,0,0,0,0,2,0.009536860509324556,7,-23.7536617,-46.6869156
5481-125935,1,4,1,0,4,1,1,1,0,1,1,0,0.02202569274751976,15,-23.547077937552583,-46.63957504993627
5527-5528,3,3,1,2,6,1,2,1,1,3,6,2,0.029475734375485445,31,-23.542500850786777,-46.64000519153009
8020-8021,1,1,1,0,1,0,0,0,0,0,1,0,0.012974565780144984,5,-23.542792052140403,-46.52203935474306
55539-140759,1,1,0,0,0,0,0,0,3,0,0,0,0.007359311129567314,5,-23.659618530008323,-46.63635854997516
5636-119961,2,0,1,0,2,0,0,0,1,0,1,0,0.012724367555955692,7,-23.53351691577855,-46.63742557052656
21280-61425,1,1,1,3,4,2,1,1,4,3,2,2,0.029475734375485445,25,-23.6029321812089,-46.59758746348278
73007-123400,2,0,0,0,0,0,0,1,1,1,3,0,0.011960025728212656,8,-23.564152200876645,-46.40607725349466
10249-10250,1,2,2,1,1,8,4,3,3,1,5,4,0.02947573437548545,35,-23.539199207366167,-46.46995532586676
5685-23332,2,2,2,0,1,1,1,0,0,0,0,0,0.014851510700070429,9,-23.537975545354342,-46.64604024346945
33147-9435,1,0,4,0,1,1,2,0,2,2,3,1,0.02228322278780252,17,-23.584799730180173,-46.580677701685275
722-738,3,5,5,4,1,0,3,4,3,5,2,3,0.02695908850140577,38,-23.644876978834162,-46.727794916784234
60755-4285,1,5,7,1,4,2,0,0,2,2,4,3,0.025538549133298182,31,-23.739084549665677,-46.79236770002108
5528-140295,1,2,1,1,2,0,0,2,0,1,2,1,0.02268830562696602,13,-23.542574600786775,-46.6405704415301
18424-18425,1,0,0,1,0,1,0,0,2,0,0,1,0.012429261958193997,6,-23.522889147120054,-46.70552540260229
38015-38053,1,1,1,2,0,2,1,1,2,2,2,1,0.02672630334043844,16,-23.75302408621365,-46.67306225603755
44093-44091,1,2,0,0,1,1,5,0,1,1,0,0,0.01717019753962678,12,-23.59932285,-46.71142125
49686-49695,1,2,1,3,1,1,0,0,1,1,2,0,0.02304114927646377,13,-23.59422510138155,-46.522316517473655
13284-3642,1,0,0,0,1,1,0,0,0,3,0,1,0.01282334707321742,7,-23.601573223315377,-46.67413550823922
95251-95257,1,0,3,0,0,0,0,1,1,0,0,0,0.00937739350929182,6,-23.545908926494533,-46.4114877249947
11192-11191,1,2,0,1,2,0,0,1,0,0,0,0,0.012404517078878574,7,-23.633176502377374,-46.462086361423786
38645-38652,2,3,5,2,2,2,1,2,2,2,3,1,0.029475734375485445,27,-23.738775943568847,-46.65899950227474
76136-76133,1,0,0,0,1,0,0,1,1,1,1,0,0.014709456763259646,6,-23.53771165,-46.4709186
1943-1944,3,3,6,2,3,1,1,1,0,0,2,3,0.024555169299763046,25,-23.52435820111588,-46.63032126189634
28266-124252,4,0,2,4,1,2,0,0,1,1,0,2,0.020377867080514932,17,-23.45823340649654,-46.71905018930249
2147-2145,3,3,1,3,1,5,3,3,0,2,1,2,0.027152465150870813,27,-23.4545766500225,-46.78606863349358
85261-85280,1,0,1,0,0,0,0,0,1,3,1,0,0.012572232372016426,7,-23.501305933396107,-46.45515722487696
36104-119382,1,0,0,0,1,1,0,0,0,0,0,2,0.01022605122210966,5,-23.694635006744946,-46.781787396013634
58557-115432,3,2,0,1,3,0,0,0,0,0,0,0,0.01041484548651623,9,-23.68383324850408,-46.633884877114966
1298-5406,3,0,1,0,2,2,0,0,3,0,0,1,0.015151198682890561,12,-23.520267134785794,-46.62609794195117
31295-31296,3,0,0,1,0,1,0,1,0,0,0,0,0.009598264469107255,6,-23.73749393340953,-46.69966628718505
59511-59504,1,1,1,1,1,0,0,0,0,0,1,0,0.015603938326661574,6,-23.700387816191235,-46.641323693158284
4302-119070,1,0,0,1,3,0,1,2,2,1,1,1,0.021783742816435574,13,-23.68230836313147,-46.767429847781344
137015-49383,1,1,0,0,1,0,1,0,2,1,0,0,0.014653551665547045,7,-23.681514691626298,-46.64197574791875
23565-6646,1,1,1,0,2,0,0,1,0,1,0,0,0.014974318619635866,7,-23.55862518323615,-46.64180388646166
118492-118491,1,2,2,2,1,0,0,0,1,2,0,1,0.020434688655239223,12,-23.664602828585178,-46.7266617643737
95989-95988,2,1,0,1,2,0,1,1,0,1,0,0,0.016949326579811273,9,-23.52686077738774,-46.41010555010615
3442-7437,1,4,0,0,1,0,0,0,2,1,0,1,0.01520343787255645,10,-23.566343556852708,-46.693883819132864
64796-63854,1,1,0,5,2,1,1,0,1,1,0,0,0.019799570086143393,13,-23.590258195656986,-46.75377078000605
23329-23278,1,0,0,0,1,1,0,0,1,0,2,0,0.012639135193869255,6,-23.534048643151067,-46.64679959465833
